,C,I,G,NX,GDP_proxy
2023-08-01,1575.9666666666665,421.9460833333333,370.8625,-7.018333333333334,2361.7569166666663
2023-09-01,1585.4083333333335,421.9460833333333,370.8625,-6.979916666666668,2371.237
2023-10-01,1589.125,425.2345,374.37675,-7.269166666666667,2381.4670833333334
2023-11-01,1595.9166666666667,425.2345,374.37675,-7.370333333333335,2388.1575833333336
2023-12-01,1607.4916666666668,425.2345,374.37675,-7.347666666666665,2399.75525
2024-01-01,1609.0416666666667,429.99191666666667,378.57441666666665,-7.720000000000001,2409.8880000000004
2024-02-01,1617.7250000000001,429.99191666666667,378.57441666666665,-7.6991666666666685,2418.592166666667
2024-03-01,1629.4333333333334,429.99191666666667,378.57441666666665,-7.760250000000003,2430.2394166666672
2024-04-01,1633.6083333333333,441.487,382.38625,-8.246416666666669,2449.2351666666664
2024-05-01,1641.4416666666666,441.487,382.38625,-8.385833333333332,2456.9290833333334
2024-06-01,1645.625,441.487,382.38625,-8.296916666666664,2461.2013333333334
2024-07-01,1655.5249999999999,445.43041666666664,388.4605833333333,-8.695833333333335,2480.720166666667
2024-08-01,1658.75,445.43041666666664,388.4605833333333,-8.093083333333333,2484.547916666667
2024-09-01,1670.3416666666665,445.43041666666664,388.4605833333333,-8.976833333333333,2495.2558333333336
2024-10-01,1676.9333333333334,440.73025,392.4961666666666,-8.340666666666667,2501.8190833333338
2024-11-01,1686.2583333333332,440.73025,392.4961666666666,-8.833416666666666,2510.6513333333332
2024-12-01,1700.675,440.73025,392.4961666666666,-10.23525,2523.6661666666664
2025-01-01,1697.5,466.30783333333335,394.8575833333333,-13.012166666666667,2545.65325
2025-02-01,1703.0249999999999,466.30783333333335,394.8575833333333,-12.270333333333333,2551.9200833333334
2025-03-01,1714.875,466.30783333333335,394.8575833333333,-13.547583333333332,2562.4928333333332
