,nominal_gdp,money_supply,money_growth,nominal_gdp_growth,velocity,velocity_growth,qtm_inflation,regime
2022-03-01,2182.385083333333,21721.5,0.09575047670934334,0.10447668096685714,1.2056543516792118,0.007963678267080887,0.08371415497642422,High
2022-04-01,2200.5390833333336,21749.9,0.07882662804366913,0.10512615670306791,1.2140961107867163,0.024377900930282026,0.08320452897395116,High
2022-05-01,2207.0198333333337,21690.1,0.06182962828791161,0.10678318181090662,1.221028856482912,0.04233593820081838,0.08416556648872998,High
2022-06-01,2222.05975,21642.6,0.05704112880774792,0.10379509603450399,1.2320477669041612,0.044230982080603054,0.08127211088835097,High
2022-07-01,2225.707583333334,21641.9,0.04911095167920587,0.09259185776309331,1.2341102675827909,0.04144547915956065,0.07055643083876652,High
2022-08-01,2238.5845833333333,21607.0,0.03823403631680877,0.09157000658403702,1.2432551950756698,0.0513718183006604,0.06960585461746917,High
2022-09-01,2245.9646666666667,21521.3,0.025854549094566304,0.09147124028065234,1.2523210029133929,0.06396295775458638,0.06981750684915268,High
2022-10-01,2268.78725,21424.5,0.013318891921164866,0.07475345126385968,1.2707623048379193,0.06062707389795152,0.053945965819116384,High
2022-11-01,2269.609833333333,21357.6,0.0018857834445100696,0.06922821468532758,1.2752049855789038,0.06721567702986309,0.04910146047437315,High
2022-12-01,2272.3127499999996,21219.2,-0.011755062501164204,0.06814763745405772,1.2850509444276879,0.08085313359403479,0.04909807109287058,High
2023-01-01,2298.6941666666667,21205.4,-0.017668204643578433,0.06709462900839469,1.3008163015081065,0.08628737668133657,0.04861917203775813,High
2023-02-01,2303.3441666666663,21185.4,-0.023038967027899426,0.06436030167310203,1.3046782217942543,0.08946034258410096,0.04642137555620153,High
2023-03-01,2302.4636666666665,20876.9,-0.038883134221853854,0.05502172107496617,1.323451470285339,0.09770388871575153,0.03882075449389767,Moderate
2023-04-01,2319.2104999999997,20730.0,-0.046892169619170754,0.0539283385446192,1.3425241678726483,0.10578079934933027,0.03888862973015951,Moderate
2023-05-01,2322.731583333333,20801.3,-0.04097722002203763,0.05242895793339386,1.339953704816526,0.09739724634859881,0.036420026326561175,Moderate
2023-06-01,2328.2520833333333,20782.8,-0.03972720467965951,0.047790044049595526,1.3443340165906423,0.09113790284984602,0.031410698170186505,Moderate
2023-07-01,2356.32575,20772.3,-0.04018131494924204,0.05868613093865904,1.3612314957900666,0.10300637758752607,0.04282506263828402,High
2023-08-01,2361.7569166666663,20747.3,-0.03978803165640765,0.05502241650834794,1.3660130715803982,0.09873908188033487,0.03895105022392721,Moderate
2023-09-01,2371.237,20720.6,-0.03720500155659745,0.05577662694010921,1.3732635155352646,0.09657468998803953,0.039369688431442076,Moderate
2023-10-01,2381.4670833333334,20687.6,-0.034395201755000215,0.04966522680050045,1.381388126220538,0.08705469225948481,0.03265949050448459,Moderate
2023-11-01,2388.1575833333336,20696.8,-0.030939805970708334,0.05223265614155892,1.3846532314174174,0.08582796262267389,0.034888156651965554,Moderate
2023-12-01,2399.75525,20701.5,-0.024397715276730514,0.05608492933026077,1.3910616621983916,0.08249534248458668,0.03809762720785616,Moderate
2024-01-01,2409.8880000000004,20773.1,-0.020386316692918016,0.04837260865136139,1.3921203864613372,0.07018983760226316,0.029803520909345144,Moderate
2024-02-01,2418.592166666667,20861.2,-0.015302991682951461,0.05003507581187239,1.3912481544685829,0.06635347415799853,0.031050482475047065,Moderate
2024-03-01,2430.2394166666672,20901.4,0.0011735458808539434,0.055495229674996205,1.3952593127733073,0.054258009530554485,0.035431555411408425,Moderate
2024-04-01,2449.2351666666664,20932.5,0.00976845151953687,0.05606419368430182,1.4040760539830406,0.04584787937778945,0.03561633089732631,Moderate
2024-05-01,2456.9290833333334,20997.0,0.009408065842038793,0.05777572448014623,1.40416007048626,0.04791685372333476,0.03732491956537355,Moderate
2024-06-01,2461.2013333333334,21065.4,0.013597782781915813,0.057102601110812,1.4020344261205577,0.04292118537344547,0.03651896815536128,Moderate
2024-07-01,2480.720166666667,21098.0,0.015679534765047798,0.05279168920794031,1.4109698549625558,0.036539236218319227,0.03221877098336702,Moderate
2024-08-01,2484.547916666667,21185.0,0.021096721019120634,0.05199137944022847,1.4073436393674772,0.030256348674073674,0.031353069693194305,Moderate
2024-09-01,2495.2558333333336,21272.0,0.026611198517417556,0.05230132345831873,1.407628337720948,0.025024200961378362,0.031635399478795914,Moderate
2024-10-01,2501.8190833333338,21323.2,0.03072371855604339,0.050536915182360476,1.4079420068282436,0.019222606669102138,0.029946325225145527,Moderate
2024-11-01,2510.6513333333332,21424.2,0.03514552974372864,0.05129215544856369,1.406251621997554,0.015598411277332858,0.0307439410210615,Moderate
2024-12-01,2523.6661666666664,21441.9,0.035765524237374224,0.0516348142864429,1.4123745563592778,0.015321315179662065,0.03108683941703629,Moderate
2025-01-01,2545.65325,21519.8,0.03594552570391518,0.056336746769974244,1.4195224397996264,0.019683680811501736,0.035629206515416914,Moderate
2025-02-01,2551.9200833333334,21613.5,0.0360621632504361,0.05512625009880057,1.4168478497235524,0.018400524142831998,0.03446268739326809,Moderate
2025-03-01,2562.4928333333332,21706.4,0.038514166515161596,0.05441991260600387,1.4166289205027087,0.015315868192935289,0.03383003470809688,Moderate
